Market Segment,Country/Region,Sales,Profit
Technology,Brazil,19352.47,6431.05
Healthcare,China,47585.0,14788.88
Finance,France,36867.7,8863.54
Healthcare,India,30334.27,9017.92
Technology,UK,8644.91,2126.98
Manufacturing,Japan,8643.73,3139.17
Healthcare,Brazil,3846.1,1669.25
Manufacturing,Germany,43442.63,18018.17
Healthcare,Germany,30454.64,7195.73
Healthcare,UK,35695.56,10843.16
Finance,Germany,2008.64,209.43
Healthcare,Canada,48525.58,21744.86
Finance,Brazil,41789.69,8280.98
Manufacturing,France,11404.62,3152.65
Manufacturing,UK,9909.42,1595.62
Manufacturing,Germany,9986.82,3707.54
Education,Japan,15907.87,5060.6
Technology,Japan,26713.07,6569.17
Finance,Japan,22165.31,6961.62
Manufacturing,France,15270.23,2557.68
Technology,UK,30980.79,12710.04
Healthcare,France,7835.2,1617.06
Education,USA,15315.09,5299.17
Healthcare,France,18951.73,8713.25
Manufacturing,China,23347.43,2695.09
Finance,Brazil,39473.62,10066.31
Healthcare,India,10784.02,1660.38
Technology,Brazil,26197.49,12141.57
Healthcare,India,30028.31,7327.84
Finance,USA,3276.07,607.17
Healthcare,Japan,30769.7,11402.96
Healthcare,USA,9355.68,2968.34
Manufacturing,India,4187.53,1787.13
Finance,UK,47495.39,19056.45
Healthcare,Canada,48315.97,23668.44
Healthcare,UK,40611.47,5531.81
Education,India,15926.07,2103.98
Healthcare,France,5785.93,2678.56
Finance,Australia,34527.42,16652.33
Healthcare,Brazil,22567.47,5927.43
Manufacturing,UK,6979.87,1970.75
Education,France,25263.67,6252.24
Finance,France,2685.04,1103.75
Healthcare,France,45556.7,18601.47
Manufacturing,Germany,13680.22,2574.18
Technology,Canada,33463.59,8484.95
Healthcare,UK,16273.84,3010.25
Technology,UK,26483.33,3142.24
Manufacturing,USA,27788.8,3402.7
Education,UK,10057.87,1596.48
Healthcare,USA,48509.65,5430.79
Healthcare,France,38981.51,10496.55
Education,France,47035.45,5908.02
Manufacturing,France,44846.54,19686.04
Healthcare,USA,30297.1,11659.32
Education,France,46171.84,19090.08
Technology,Germany,5336.13,1851.6
Manufacturing,Brazil,10603.16,3876.0
Technology,France,3216.14,467.51
Manufacturing,France,16941.19,2088.29
Healthcare,India,20045.19,9936.11
Finance,India,14296.1,3562.3
Education,UK,41608.14,5014.11
Technology,France,18480.91,3028.25
Technology,Canada,14765.79,6639.92
Technology,Japan,27592.11,5030.58
Manufacturing,UK,7905.29,2267.37
Finance,Canada,40307.65,14792.49
Manufacturing,Australia,4652.98,2262.96
Education,Japan,49357.46,5213.97
Healthcare,Germany,38839.99,11459.08
Finance,France,10737.07,5351.49
Healthcare,France,1270.58,188.92
Education,France,40957.61,6122.62
Manufacturing,China,35636.01,4804.34
Technology,Germany,36721.35,11131.62
Education,France,38792.25,9285.49
Finance,Australia,4628.19,1788.8
Technology,India,18564.82,6098.89
Finance,Australia,6677.58,2219.2
Education,Japan,43292.07,13179.13
Technology,Brazil,31541.61,15670.69
Education,Japan,17214.0,5433.08
Healthcare,Australia,4114.36,530.53
Manufacturing,India,16238.13,3716.55
Education,USA,16933.98,6981.39
Finance,China,36750.7,12913.54
Technology,China,32240.32,12044.31
Education,India,44473.42,20845.69
Technology,China,24138.53,6698.73
Education,Brazil,6860.12,739.58
Technology,China,35948.99,17832.0
Healthcare,Japan,38278.47,10788.06
Finance,Australia,28502.58,3963.13
Education,Brazil,38777.39,12386.8
Technology,USA,25195.98,8467.9
Education,France,26613.91,8669.04
Finance,India,21949.51,10666.74
Finance,Germany,2245.54,511.66
Manufacturing,Australia,6286.68,715.46
Finance,China,2540.03,1188.48
Manufacturing,France,32184.11,5680.35
Technology,Japan,16403.44,6557.76
Finance,Australia,25919.96,4707.17
Finance,Canada,45470.76,19624.73
Finance,USA,13215.32,6112.79
Healthcare,France,21108.76,3000.46
Healthcare,Canada,38022.01,6042.07
Finance,Australia,12211.11,5740.63
