Market Segment,Country/Region,Sales,Profit
Healthcare,UK,19352.47,4827.6
Manufacturing,Germany,47585.0,11095.15
Education,Germany,36867.7,6284.53
Education,China,30334.27,10401.82
Finance,Germany,8644.91,2512.64
Technology,France,8643.73,3857.53
Finance,China,3846.1,434.01
Technology,Germany,43442.63,15532.79
Finance,Australia,30454.64,12339.6
Finance,Australia,35695.56,14413.67
Education,Canada,2008.64,912.79
Technology,Australia,48525.58,19003.27
Healthcare,China,41789.69,19688.13
Healthcare,UK,11404.62,2657.99
Finance,USA,9909.42,2985.55
Finance,Australia,9986.82,1054.93
Education,India,15907.87,1635.06
Technology,Germany,26713.07,5237.11
Finance,China,22165.31,3110.3
Healthcare,Japan,15270.23,3116.42
Technology,Australia,30980.79,5292.06
Finance,Japan,7835.2,872.9
Technology,India,15315.09,7101.94
Education,France,18951.73,1957.51
Healthcare,France,23347.43,9208.99
Technology,Germany,39473.62,6349.69
Healthcare,USA,10784.02,5013.4
Finance,Australia,26197.49,11975.35
Manufacturing,Germany,30028.31,10857.05
Technology,USA,3276.07,1208.52
Healthcare,Japan,30769.7,3142.68
Technology,India,9355.68,4621.23
Finance,Germany,4187.53,1889.13
Finance,France,47495.39,21754.91
Healthcare,UK,48315.97,17572.41
Education,China,40611.47,9662.07
Technology,Japan,15926.07,7285.53
Technology,Canada,5785.93,1253.27
Finance,China,34527.42,11224.33
Technology,India,22567.47,3157.02
Healthcare,USA,6979.87,3272.04
Manufacturing,Japan,25263.67,3948.92
Finance,Brazil,2685.04,510.05
Manufacturing,China,45556.7,14726.37
Technology,UK,13680.22,5549.21
Education,Australia,33463.59,11636.65
Healthcare,Australia,16273.84,3138.47
Technology,Brazil,26483.33,2658.32
Healthcare,Canada,27788.8,11195.0
Technology,China,10057.87,4969.42
Technology,Brazil,48509.65,20566.4
Technology,Canada,38981.51,11073.97
Finance,Australia,47035.45,21707.18
Manufacturing,Japan,44846.54,11836.75
Education,Brazil,30297.1,9391.3
Manufacturing,Germany,46171.84,13429.17
Manufacturing,India,5336.13,1489.05
Healthcare,UK,10603.16,4348.1
Finance,China,3216.14,999.28
Finance,Germany,16941.19,3840.34
Technology,India,20045.19,4074.45
Manufacturing,Canada,14296.1,1645.47
Education,India,41608.14,13867.08
Healthcare,Canada,18480.91,3548.05
Finance,China,14765.79,2351.5
Technology,Canada,27592.11,9975.43
Education,China,7905.29,2944.59
Manufacturing,USA,40307.65,16157.8
Education,Japan,4652.98,1402.55
Finance,Australia,49357.46,22587.05
Healthcare,China,38839.99,18431.02
Manufacturing,France,10737.07,4541.23
Healthcare,USA,1270.58,450.09
Education,Japan,40957.61,9071.63
Education,France,35636.01,17574.89
Technology,Germany,36721.35,7698.8
Manufacturing,France,38792.25,7023.83
Education,Japan,4628.19,1281.37
Finance,UK,18564.82,2278.58
Finance,Canada,6677.58,3281.35
Healthcare,Canada,43292.07,14519.01
Finance,Germany,31541.61,10181.03
Education,Japan,17214.0,6236.95
Finance,USA,4114.36,1229.41
Manufacturing,China,16238.13,1832.07
Healthcare,India,16933.98,5840.95
Manufacturing,China,36750.7,14203.03
Education,Germany,32240.32,8598.48
Education,Japan,44473.42,17919.15
Finance,France,24138.53,4605.64
Technology,UK,6860.12,1293.21
Technology,Germany,35948.99,5916.01
Education,UK,38278.47,9523.6
Education,Japan,28502.58,12507.07
Healthcare,India,38777.39,16719.45
Education,Japan,25195.98,6377.85
Education,Brazil,26613.91,8932.89
Healthcare,Australia,21949.51,8523.58
Manufacturing,Australia,2245.54,441.21
Manufacturing,Australia,6286.68,1051.49
Healthcare,Australia,2540.03,1241.66
Healthcare,France,32184.11,11168.62
Manufacturing,Canada,16403.44,8079.78
Manufacturing,Brazil,25919.96,6093.85
Manufacturing,Germany,45470.76,17334.03
Manufacturing,China,13215.32,2498.24
Finance,France,21108.76,4316.32
Healthcare,USA,38022.01,11587.62
Technology,India,12211.11,2782.27
Finance,France,4772.02,797.16
Technology,Japan,15197.82,3117.87
Technology,China,8899.84,1017.25
Education,India,46555.18,17773.35
Healthcare,Australia,40597.9,12051.35
Finance,Canada,32036.78,4411.38
Healthcare,Brazil,43701.57,7371.48
Manufacturing,Australia,40379.93,5694.13
Healthcare,Germany,10141.93,3499.34
Technology,USA,44735.39,6159.35
Manufacturing,Canada,27427.77,11018.09
Healthcare,India,40564.57,4389.26
Healthcare,Australia,44908.47,8970.48
Technology,Japan,16582.17,7565.89
Manufacturing,USA,6392.54,2476.55
Technology,Brazil,12168.82,1572.06
Healthcare,China,21928.28,9395.18
Finance,Australia,41082.72,12210.36
Finance,Germany,43175.8,18941.79
Education,China,1340.65,456.22
Finance,Japan,26026.62,9700.98
Manufacturing,Germany,21453.14,10670.8
Education,India,11883.28,2292.69
Manufacturing,USA,6873.4,2402.79
Finance,UK,17543.14,4984.51
Finance,India,47202.58,5465.15
Healthcare,Germany,16836.94,1781.15
Manufacturing,Australia,26420.74,3902.12
Technology,Japan,35447.93,12748.38
Healthcare,Australia,18817.85,6150.9
Manufacturing,Canada,48617.32,15624.24
Education,Brazil,48159.92,5429.68
Manufacturing,Canada,13337.33,3837.43
Education,UK,25365.18,11917.81
Education,Germany,15743.04,4078.03
Finance,Australia,14957.18,5234.55
Technology,Brazil,2807.46,1156.47
Manufacturing,Brazil,30868.65,12766.35
Technology,China,25631.27,7887.05
Education,Australia,3522.46,1561.09
Finance,UK,14653.68,3759.42
Technology,Brazil,45505.03,20726.51
Healthcare,China,12738.53,2497.91
Education,Canada,8099.85,1717.87
Healthcare,Australia,24983.19,3029.17
Technology,USA,49296.87,20617.57
Technology,Australia,12860.71,3431.52
