Market Segment,Country/Region,Sales,Profit
Manufacturing,Australia,19352.47,2178.54
Finance,Japan,47585.0,16871.94
Technology,Australia,36867.7,8322.6
Manufacturing,Australia,30334.27,9204.27
Manufacturing,Japan,8644.91,4002.82
Finance,USA,8643.73,1726.3
Technology,France,3846.1,1015.96
Finance,Australia,43442.63,17473.51
Technology,Japan,30454.64,5832.65
Education,Japan,35695.56,4668.69
Healthcare,UK,2008.64,433.67
Healthcare,USA,48525.58,7981.9
Healthcare,India,41789.69,19719.68
Finance,UK,11404.62,4826.98
Education,UK,9909.42,3501.61
Technology,China,9986.82,4479.93
Manufacturing,France,15907.87,6704.67
Technology,Japan,26713.07,4664.85
Manufacturing,France,22165.31,10130.07
Technology,Germany,15270.23,4821.37
Education,China,30980.79,13104.13
Manufacturing,India,7835.2,3591.94
Finance,France,15315.09,3479.61
Technology,Canada,18951.73,2729.44
Technology,Australia,23347.43,4463.42
Manufacturing,Germany,39473.62,10691.16
Finance,USA,10784.02,4607.0
Finance,India,26197.49,11639.34
Education,Germany,30028.31,3086.34
Finance,Australia,3276.07,996.9
Finance,China,30769.7,8214.41
Finance,Australia,9355.68,1766.76
Healthcare,UK,4187.53,619.53
Education,Australia,47495.39,11163.61
Technology,UK,48315.97,23054.64
Manufacturing,China,40611.47,9311.45
Technology,Brazil,15926.07,4897.53
Education,UK,5785.93,2205.64
Manufacturing,USA,34527.42,8474.82
Education,Australia,22567.47,11029.01
Finance,Australia,6979.87,3385.09
Manufacturing,USA,25263.67,5070.74
Finance,Canada,2685.04,802.56
Technology,Japan,45556.7,10038.48
Technology,Brazil,13680.22,2926.69
Manufacturing,India,33463.59,3840.11
Manufacturing,UK,16273.84,5595.37
Education,USA,26483.33,7973.38
Education,China,27788.8,3351.09
Finance,UK,10057.87,2126.82
Manufacturing,Japan,48509.65,22474.83
Technology,China,38981.51,7633.54
Education,Germany,47035.45,7429.62
Education,Australia,44846.54,13264.76
Technology,Germany,30297.1,14974.65
Education,UK,46171.84,9087.64
Finance,Japan,5336.13,1968.26
Manufacturing,Brazil,10603.16,4290.55
Technology,UK,3216.14,627.32
Manufacturing,USA,16941.19,6628.86
Education,France,20045.19,4953.43
Education,UK,14296.1,5045.41
Technology,Australia,41608.14,14704.81
Finance,Australia,18480.91,5808.73
Healthcare,UK,14765.79,2009.86
Technology,China,27592.11,11978.31
Healthcare,France,7905.29,1804.87
Healthcare,USA,40307.65,7038.01
Finance,UK,4652.98,541.19
Healthcare,China,49357.46,16601.74
Healthcare,Australia,38839.99,14410.64
Finance,Australia,10737.07,1144.95
Healthcare,Japan,1270.58,387.32
Healthcare,UK,40957.61,7806.45
Healthcare,France,35636.01,12760.15
Technology,Canada,36721.35,6233.32
Technology,France,38792.25,14600.44
Technology,Australia,4628.19,1178.77
Finance,Australia,18564.82,8812.57
Education,Germany,6677.58,1035.08
Healthcare,Australia,43292.07,10235.39
Healthcare,USA,31541.61,4585.82
Finance,India,17214.0,8088.47
Healthcare,UK,4114.36,1855.31
Technology,France,16238.13,3299.21
Education,India,16933.98,6163.86
Manufacturing,China,36750.7,15688.47
Healthcare,Canada,32240.32,10383.97
Technology,USA,44473.42,13869.49
Manufacturing,France,24138.53,4749.04
Education,India,6860.12,941.49
Manufacturing,Canada,35948.99,16496.5
Technology,Germany,38278.47,17614.5
Manufacturing,USA,28502.58,10068.27
Finance,USA,38777.39,9136.42
Manufacturing,Germany,25195.98,6039.07
Healthcare,UK,26613.91,10389.6
Healthcare,Germany,21949.51,10071.4
Finance,USA,2245.54,1021.35
Technology,USA,6286.68,2589.8
